postalcode,FIPS,date,time,Total Stations,Has Fuel:Has Power,Has Fuel:No Power,No Fuel:Has Power,No Power:No Fuel,PercentageOperational,raw_visit_counts
7030,22109,9/14/21,6:12,1,0,0,1,0,0,131
7030,22057,9/14/21,14:12,1,1,0,0,0,100,185
7030,22109,9/14/21,14:12,1,0,0,1,0,0,131
7030,22057,9/14/21,22:12,1,1,0,0,0,100,185
7030,22109,9/14/21,22:12,1,0,0,1,0,0,131
7030,22057,9/15/21,6:12,1,1,0,0,0,100,185
7030,22109,9/15/21,6:12,1,0,0,1,0,0,131
7030,22057,9/15/21,14:12,1,1,0,0,0,100,185
7030,22109,9/15/21,14:12,1,0,0,1,0,0,131
7030,22057,9/15/21,22:12,1,1,0,0,0,100,185
7030,22109,9/15/21,22:12,1,0,0,1,0,0,131
7030,22057,9/16/21,6:12,1,1,0,0,0,100,185
7030,22109,9/16/21,6:12,1,0,0,1,0,0,131
7030,22057,9/16/21,14:12,1,1,0,0,0,100,185
7030,22109,9/16/21,14:12,1,0,0,1,0,0,131
7030,22057,9/16/21,22:12,1,1,0,0,0,100,185
7030,22109,9/16/21,22:12,1,0,0,1,0,0,131
7030,22057,9/17/21,6:12,1,1,0,0,0,100,185
7030,22109,9/17/21,6:12,1,0,0,1,0,0,131
7030,22057,9/17/21,14:12,1,1,0,0,0,100,185
7030,22109,9/17/21,14:12,1,0,0,1,0,0,131
7030,22057,9/17/21,22:12,1,1,0,0,0,100,185
7030,22109,9/17/21,22:12,1,0,0,1,0,0,131
7030,22057,9/18/21,6:12,1,1,0,0,0,100,185
7030,22109,9/18/21,6:12,1,0,0,1,0,0,131
7030,22057,9/18/21,14:12,1,1,0,0,0,100,185
7030,22109,9/18/21,14:12,1,0,0,1,0,0,131
7030,22057,9/18/21,22:12,1,1,0,0,0,100,185
7030,22109,9/18/21,22:12,1,0,0,1,0,0,131
7030,22057,9/19/21,6:12,1,1,0,0,0,100,185
7030,22109,9/19/21,6:12,1,0,0,1,0,0,131
7030,22057,9/19/21,14:12,1,1,0,0,0,100,185
7030,22109,9/19/21,14:12,1,1,0,0,0,100,131
7030,22057,9/19/21,22:12,1,1,0,0,0,100,185
7030,22109,9/19/21,22:12,1,1,0,0,0,100,131
7030,22057,9/20/21,6:12,1,1,0,0,0,100,185
7030,22109,9/20/21,6:12,1,1,0,0,0,100,131
7030,22057,9/20/21,14:12,1,1,0,0,0,100,185
7030,22109,9/20/21,14:12,1,1,0,0,0,100,131
7030,22057,9/20/21,22:13,1,1,0,0,0,100,185
7030,22109,9/20/21,22:13,1,1,0,0,0,100,131
7030,22057,9/21/21,6:12,1,1,0,0,0,100,185
7030,22109,9/21/21,6:12,1,1,0,0,0,100,131
